Vacancy,Vacancy_Description,Industry,Company,Salary,Experience,Education,Location,Working_schedule,Working_conditions,Date
Кредитный менеджер,кредитный главный менеджер Отдела малого и среднего бизнеса,"Банки, инвестиции, лизинг Кредитование","""FORTEBANK"" АКЦИОНЕРЛІК ҚОҒАМЫНЫҢ ШЫМКЕНТ ҚАЛАСЫНДАҒЫ ФИЛИАЛЫ",от 102 000 тг.,Без опыта работы,послесреднее,ЖАМБЫЛСКАЯ ОБЛАСТЬ / Байзакский  район,полный рабочий день,нормальные,11/12/2020
Кредитный менеджер,кредитный главный менеджер Отдела малого и среднего бизнеса,"Банки, инвестиции, лизинг Кредитование","""FORTEBANK"" АКЦИОНЕРЛІК ҚОҒАМЫНЫҢ ШЫМКЕНТ ҚАЛАСЫНДАҒЫ ФИЛИАЛЫ",от 102 000 тг.,Без опыта работы,послесреднее,ЖАМБЫЛСКАЯ ОБЛАСТЬ / Байзакский  район,полный рабочий день,нормальные,11/12/2020
Кредитный агент,специалист Департамента администрирования - 1 ед.,"Банки, инвестиции, лизинг Кредитование","АКТЮБИНСКИЙ ФИЛИАЛ ТОВАРИЩЕСТВА С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""МИКРОФИНАНСОВАЯ ОРГАНИЗАЦИЯ ""KMF (КМФ)""",от 85 000 тг.,1 год стажа,техническое и профессиональное,АКМОЛИНСКАЯ ОБЛАСТЬ / г. Щучинск,полный рабочий день,нормальные,11/12/2020
Кредитный агент,специалист Департамента администрирования - 1 ед.,"Банки, инвестиции, лизинг Кредитование","АКТЮБИНСКИЙ ФИЛИАЛ ТОВАРИЩЕСТВА С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""МИКРОФИНАНСОВАЯ ОРГАНИЗАЦИЯ ""KMF (КМФ)""",от 85 000 тг.,1 год стажа,техническое и профессиональное,АКМОЛИНСКАЯ ОБЛАСТЬ / г. Щучинск,полный рабочий день,нормальные,11/12/2020
Кредитный администратор,Ассистент менеджера\менеджер\старший менеджер Центра персонального сервиса/Центра банковского обслуживания/ Отделения,"Банки, инвестиции, лизинг Кредитование","Талдыкорганский филиал товарищества с ограниченной ответственностью ""Микрофинансовая организация ""KMF(КМФ)""",от 65 000 тг.,1 год стажа,техническое и профессиональное,КЫЗЫЛОРДИНСКАЯ ОБЛАСТЬ / Жалагашский район,полный рабочий день,нормальные,11/12/2020
Кредитный администратор,Ассистент менеджера\менеджер\старший менеджер Центра персонального сервиса/Центра банковского обслуживания/ Отделения,"Банки, инвестиции, лизинг Кредитование","Талдыкорганский филиал товарищества с ограниченной ответственностью ""Микрофинансовая организация ""KMF(КМФ)""",от 65 000 тг.,1 год стажа,техническое и профессиональное,КЫЗЫЛОРДИНСКАЯ ОБЛАСТЬ / Жалагашский район,полный рабочий день,нормальные,11/12/2020
Системный администратор,Системный администратор,"IT, телекоммуникации, связь, электроника Системная интеграция","Товарищество с ограниченной ответственностью ""Группа компаний РБК""",от 200 000 тг.,3 года стажа,высшее,г. НУР-СУЛТАН / район Сарыарка,полный рабочий день,нормальные,11/13/2020
Системный администратор,Системный администратор,"IT, телекоммуникации, связь, электроника Системная интеграция","Товарищество с ограниченной ответственностью ""Группа компаний РБК""",от 200 000 тг.,3 года стажа,высшее,г. НУР-СУЛТАН / район Сарыарка,полный рабочий день,нормальные,11/13/2020
"Педагог-организатор, начальная школа",Ведущий эксперт Направления розничного бизнеса,"Образование, наука Образование, наука","АКЦИОНЕРНОЕ ОБЩЕСТВО ""FORTEBANK""",от 75 000 тг.,1 год стажа,техническое и профессиональное,г. ШЫМКЕНТ / г. Шымкент,полный рабочий день,нормальные,11/13/2020
Врач-офтальмолог (взрослый и детский),консультант,"Медицина, фармацевтика Офтальмология","Коммунальное государственное предприятие ""Аркалыкская региональная поликлиника"" Управления здравоохранения акимата Костанайской области",от 130 000 тг.,Без опыта работы,высшее,"г. Нур-Султан, проспект Мәңгілік Ел, 8, 3 подъезд",полный рабочий день,нормальные,11/13/2020
Врач-нарколог,врач-инфекционист,"Медицина, фармацевтика Наркология","Коммунальное государственное предприятие ""Аркалыкская региональная поликлиника"" Управления здравоохранения акимата Костанайской области",от 110 000 тг.,Без опыта работы,высшее,КАРАГАНДИНСКАЯ ОБЛАСТЬ / Нуринский район,полный рабочий день,нормальные,11/13/2020
Врач инфекционист (взрослый и детский),Главный специалист отдела модернизации процессов,"Медицина, фармацевтика Медицина, фармацевтика","Коммунальное государственное предприятие ""Аркалыкская региональная поликлиника"" Управления здравоохранения акимата Костанайской области",от 110 000 тг.,Без опыта работы,высшее,АКТЮБИНСКАЯ ОБЛАСТЬ / Хромтауский район,полный рабочий день,нормальные,11/13/2020
Врач-рентгенолог,врач-нарколог,"Медицина, фармацевтика Медицина, фармацевтика","Коммунальное государственное предприятие ""Аркалыкская региональная поликлиника"" Управления здравоохранения акимата Костанайской области",от 135 000 тг.,Без опыта работы,высшее,КОСТАНАЙСКАЯ ОБЛАСТЬ / г. Рудный,полный рабочий день,нормальные,11/13/2020
Врач-уролог и андролог (взрослый и детский),врач-кардиолог,"Медицина, фармацевтика Медицина, фармацевтика","Коммунальное государственное предприятие ""Аркалыкская региональная поликлиника"" Управления здравоохранения акимата Костанайской области",от 130 000 тг.,Без опыта работы,высшее,КОСТАНАЙСКАЯ ОБЛАСТЬ / г. Рудный,полный рабочий день,нормальные,11/13/2020
Врач функциональной диагностики,врач-уролог,"Медицина, фармацевтика Клинические испытания",Акционерное общество «Национальная горнорудная компания «Taу-Keн Самрук»,от 130 000 тг.,Без опыта работы,высшее,КОСТАНАЙСКАЯ ОБЛАСТЬ / г. Рудный,полный рабочий день,нормальные,11/13/2020
Врач-кардиолог (взрослый и детский),-,"Медицина, фармацевтика Болезни сердца","ИП ""ЗВЁЗДНЫЙ ДОЖДЬ""",от 150 000 тг.,Без опыта работы,высшее,г. АЛМАТЫ / Турксибский район,полный рабочий день,нормальные,11/13/2020
Социальный работник,Define Stage Preparation Manager,"Государственная служба, некоммерческие организации Муниципалитет","ИП ""ЗВЁЗДНЫЙ ДОЖДЬ""",от 42 500 тг.,1 год стажа,высшее,ПАВЛОДАРСКАЯ ОБЛАСТЬ / Щербактинский район,полный рабочий день,нормальные,11/13/2020
Социальный работник,Define Stage Preparation Manager,"Государственная служба, некоммерческие организации Муниципалитет","ИП ""ЗВЁЗДНЫЙ ДОЖДЬ""",от 42 500 тг.,1 год стажа,высшее,ПАВЛОДАРСКАЯ ОБЛАСТЬ / Щербактинский район,полный рабочий день,нормальные,11/13/2020
Кредитный служащий,Кредитный Эксперт,"Банки, инвестиции, лизинг Кредитование","ФИЛИАЛ В ГОРОДЕ ШЫМКЕНТ ТОВАРИЩЕСТВА С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""МИКРОФИНАНСОВАЯ ОРГАНИЗАЦИЯ ""KMF (КМФ)""",от 80 000 тг.,3 года стажа,высшее,АКМОЛИНСКАЯ ОБЛАСТЬ / г. Степногорск,полный рабочий день,нормальные,11/13/2020
Кредитный служащий,Кредитный Эксперт,"Банки, инвестиции, лизинг Кредитование","ФИЛИАЛ В ГОРОДЕ ШЫМКЕНТ ТОВАРИЩЕСТВА С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""МИКРОФИНАНСОВАЯ ОРГАНИЗАЦИЯ ""KMF (КМФ)""",от 80 000 тг.,3 года стажа,высшее,АКМОЛИНСКАЯ ОБЛАСТЬ / г. Степногорск,полный рабочий день,нормальные,11/13/2020
Системный администратор,Системный администратор,"IT, телекоммуникации, связь, электроника Системная интеграция","Государственное учреждение ""Средняя школа имени Ораза Саргунанова""",от 42 500 тг.,1 год стажа,техническое и профессиональное,КОСТАНАЙСКАЯ ОБЛАСТЬ / г. Костанай,полный рабочий день,нормальные,11/14/2020
Системный администратор,Системный администратор,"IT, телекоммуникации, связь, электроника Системная интеграция","Государственное учреждение ""Средняя школа имени Ораза Саргунанова""",от 42 500 тг.,1 год стажа,техническое и профессиональное,КОСТАНАЙСКАЯ ОБЛАСТЬ / г. Костанай,полный рабочий день,нормальные,11/14/2020
Кондитер,Врач общей практики,"Рестораны, фастфуд Кондитерское дело","ТОВАРИЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""BOXING DEVELOPMENT CENTRE""",от 100 000 тг.,1 год стажа,техническое и профессиональное,"г. Нур-Султан, проспект Мәңгілік Ел, 8, 3 подъезд",полный рабочий день,нормальные,11/16/2020
Маркетолог,Офис - менеджер,"Маркетинг, реклама, PR Маркетинг","Верхне-Иртышский филиал Республиканского государственного казенного предприятия ""Қазақстан су жолдары"" Комитета транспорта Министерства индустрии и инфраструктурного развития Республики Казахстан",от 100 000 тг.,Без опыта работы,высшее,г. НУР-СУЛТАН / район Есиль,полный рабочий день,нормальные,11/16/2020
Бизнес консультант,Аналитик по развитию бизнеса,"Консалтинг, стратегическое развитие Организационное консультирование","ОБЩЕСТВЕННОЕ ОБЪЕДИНЕНИЕ ""КАЗАХСТАНСКАЯ ОРГАНИЗАЦИЯ КАЧЕСТВА И ИННОВАЦИОННОГО МЕНЕДЖМЕНТА""",от 180 000 тг.,3 года стажа,общее среднее (с 1 по 11/12 классы),г. НУР-СУЛТАН / г. Нур-Султан,полный рабочий день,нормальные,11/16/2020
Бизнес консультант,Аналитик по развитию бизнеса,"Консалтинг, стратегическое развитие Организационное консультирование","ОБЩЕСТВЕННОЕ ОБЪЕДИНЕНИЕ ""КАЗАХСТАНСКАЯ ОРГАНИЗАЦИЯ КАЧЕСТВА И ИННОВАЦИОННОГО МЕНЕДЖМЕНТА""",от 180 000 тг.,3 года стажа,общее среднее (с 1 по 11/12 классы),г. НУР-СУЛТАН / г. Нур-Султан,полный рабочий день,нормальные,11/16/2020
Аналитик,эксперт Департамента субсидий и защитных мер,"Консалтинг, стратегическое развитие Аналитика","ТОВАРИЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ЭНЕРГОПОТОК""",от 130 000 тг.,1 год стажа,высшее,КОСТАНАЙСКАЯ ОБЛАСТЬ / г. Аркалык,полный рабочий день,нормальные,11/16/2020
Аналитик,эксперт Департамента международного сотрудничества и трансграничной торговли,"Консалтинг, стратегическое развитие Аналитика","ТОВАРИЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ЭНЕРГОПОТОК""",от 130 000 тг.,1 год стажа,высшее,АТЫРАУСКАЯ ОБЛАСТЬ / г. Атырау,полный рабочий день,нормальные,11/16/2020
Аналитик,Аналитик по продажам,"Консалтинг, стратегическое развитие Аналитика","Филиал товарищества с ограниченной ответственностью ""Стелл"" в городе Астана",от 130 000 тг.,1 год стажа,техническое и профессиональное,"г. НУР-СУЛТАН / район ""Байқоңыр""",полный рабочий день,нормальные,11/16/2020
Аналитик,Аналитик по продажам,"Консалтинг, стратегическое развитие Аналитика","Филиал товарищества с ограниченной ответственностью ""Стелл"" в городе Астана",от 130 000 тг.,1 год стажа,техническое и профессиональное,"г. НУР-СУЛТАН / район ""Байқоңыр""",полный рабочий день,нормальные,11/16/2020
Аналитик,Аналитик по продажам,"Консалтинг, стратегическое развитие Аналитика","Филиал товарищества с ограниченной ответственностью ""Стелл"" в городе Астана",от 130 000 тг.,1 год стажа,техническое и профессиональное,"г. НУР-СУЛТАН / район ""Байқоңыр""",полный рабочий день,нормальные,11/16/2020
Специалист по пенсионному обеспечению,Врач общей практики,"Государственная служба, некоммерческие организации Государственная служба","РЕСПУБЛИКАНСКОЕ ГОСУДАРСТВЕННОЕ УЧРЕЖДЕНИЕ ""УЧРЕЖДЕНИЕ ОВ-156/3"" КОМИТЕТА УГОЛОВНО-ИСПОЛНИТЕЛЬНОЙ СИСТЕМЫ МИНИСТЕРСТВА ВНУТРЕННИХ ДЕЛ РЕСПУБЛИКИ КАЗАХСТАН",от 42 500 тг.,Без опыта работы,общее среднее (с 1 по 11/12 классы),АКМОЛИНСКАЯ ОБЛАСТЬ / г. Кокшетау,полный рабочий день,нормальные,11/16/2020
Специалист по пенсионному обеспечению,Врач общей практики,"Государственная служба, некоммерческие организации Государственная служба","РЕСПУБЛИКАНСКОЕ ГОСУДАРСТВЕННОЕ УЧРЕЖДЕНИЕ ""УЧРЕЖДЕНИЕ ОВ-156/3"" КОМИТЕТА УГОЛОВНО-ИСПОЛНИТЕЛЬНОЙ СИСТЕМЫ МИНИСТЕРСТВА ВНУТРЕННИХ ДЕЛ РЕСПУБЛИКИ КАЗАХСТАН",от 42 500 тг.,Без опыта работы,общее среднее (с 1 по 11/12 классы),АКМОЛИНСКАЯ ОБЛАСТЬ / г. Кокшетау,полный рабочий день,нормальные,11/16/2020
Врач-стоматолог (взрослый и детский),Врач- неонатолог реаниматолог,"Медицина, фармацевтика Стоматология","КОММУНАЛЬНОЕ ГОСУДАРСТВЕННОЕ ПРЕДПРИЯТИЕ ""РУДНЕНСКАЯ ГОРОДСКАЯ МНОГОПРОФИЛЬНАЯ БОЛЬНИЦА"" УПРАВЛЕНИЯ ЗДРАВООХРАНЕНИЯ АКИМАТА КОСТАНАЙСКОЙ ОБЛАСТИ",от 150 000 тг.,Без опыта работы,высшее,г. НУР-СУЛТАН / район Есиль,полный рабочий день,нормальные,11/17/2020
Экономист по бухгалтерскому учету и анализу хозяйственной деятельности,Диетолог,"Экономика, финансы Экономика, финансы","Товарищество с ограниченной ответственностью ""Zhakim Invest"" (Жаким Инвест)",от 100 000 тг.,2 года стажа,высшее,г. НУР-СУЛТАН / район Есиль,полный рабочий день,нормальные,11/18/2020
Консультант в области карьерного роста,Кредитный аналитик,Рынок труда Рынок труда,"""FORTEBANK"" АКЦИОНЕРЛІК ҚОҒАМЫНЫҢ ШЫМКЕНТ ҚАЛАСЫНДАҒЫ ФИЛИАЛЫ",от 150 000 тг.,2 года стажа,высшее,"г. Нур-Султан, проспект Мәңгілік Ел, 8, 3 подъезд",полный рабочий день,нормальные,11/18/2020
Консультант в области карьерного роста,Кредитный аналитик,Рынок труда Рынок труда,"""FORTEBANK"" АКЦИОНЕРЛІК ҚОҒАМЫНЫҢ ШЫМКЕНТ ҚАЛАСЫНДАҒЫ ФИЛИАЛЫ",от 150 000 тг.,2 года стажа,высшее,"г. Нур-Султан, проспект Мәңгілік Ел, 8, 3 подъезд",полный рабочий день,нормальные,11/18/2020
Бизнес аналитик,консультант,"Консалтинг, стратегическое развитие Аналитика","ИП ""ЗВЁЗДНЫЙ ДОЖДЬ""",от 150 000 тг.,Без опыта работы,высшее,г. НУР-СУЛТАН / район Есиль,полный рабочий день,нормальные,11/18/2020
Бизнес аналитик,Эксперт-аналитик,"Консалтинг, стратегическое развитие Аналитика","Товарищество с ограниченной ответственностью ""Микрофинансовая организация ""KMF (КМФ)""",от 150 000 тг.,Без опыта работы,высшее,КОСТАНАЙСКАЯ ОБЛАСТЬ / г. Аркалык,полный рабочий день,нормальные,11/18/2020
Бизнес аналитик,-,"Консалтинг, стратегическое развитие Аналитика","Товарищество с ограниченной ответственностью ""Микрофинансовая организация ""KMF (КМФ)""",от 150 000 тг.,Без опыта работы,высшее,г. ШЫМКЕНТ / Аль-Фарабийский район,полный рабочий день,нормальные,11/18/2020
Бизнес аналитик,консультант,"Консалтинг, стратегическое развитие Аналитика","ИП ""ЗВЁЗДНЫЙ ДОЖДЬ""",от 150 000 тг.,Без опыта работы,высшее,г. ШЫМКЕНТ / Аль-Фарабийский район,полный рабочий день,нормальные,11/18/2020
Бизнес аналитик,консультант,"Консалтинг, стратегическое развитие Аналитика","ИП ""ЗВЁЗДНЫЙ ДОЖДЬ""",от 150 000 тг.,Без опыта работы,высшее,КЫЗЫЛОРДИНСКАЯ ОБЛАСТЬ / г. Байконыр,полный рабочий день,нормальные,11/18/2020
Сетевой инженер,Инженер по автоматизации,"IT, телекоммуникации, связь, электроника Сетевые технологии","Верхне-Иртышский филиал Республиканского государственного казенного предприятия ""Қазақстан су жолдары"" Комитета транспорта Министерства индустрии и инфраструктурного развития Республики Казахстан",от 72 558 тг.,3 года стажа,высшее,ПАВЛОДАРСКАЯ ОБЛАСТЬ / г. Аксу,полный рабочий день,нормальные,11/19/2020
Инженер-радиолог,Врач анестезиолог реаниматолог реанимационно-анестезиологического отделения,"Промышленность, производство Радиоэлектронная промышленность","КОММУНАЛЬНОЕ ГОСУДАРСТВЕННОЕ ПРЕДПРИЯТИЕ ""РУДНЕНСКАЯ ГОРОДСКАЯ МНОГОПРОФИЛЬНАЯ БОЛЬНИЦА"" УПРАВЛЕНИЯ ЗДРАВООХРАНЕНИЯ АКИМАТА КОСТАНАЙСКОЙ ОБЛАСТИ",от 75 000 тг.,3 года стажа,послевузовское,КОСТАНАЙСКАЯ ОБЛАСТЬ / г. Костанай,полный рабочий день,нормальные,11/19/2020
Врач общей практики,врач функциональной диагностики,"Медицина, фармацевтика Медицина, фармацевтика","Республиканское государственное предприятие на праве хозяйственного ведения ""Казаэронавигация"" Комитета гражданской авиации Министерства индустрии и инфраструктурного развития Республики Казахстан",от 110 000 тг.,Без опыта работы,высшее,КОСТАНАЙСКАЯ ОБЛАСТЬ / г. Рудный,полный рабочий день,нормальные,11/19/2020
Аналитик,аналитик,"Консалтинг, стратегическое развитие Аналитика","ТОВАРИЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""КОНЦЕРН ""ЦЕСНА-АСТЫК""",от 200 000 тг.,2 года стажа,высшее,"г. НУР-СУЛТАН / район ""Байқоңыр""",полный рабочий день,нормальные,11/19/2020
Аналитик,эксперт Департамента международного сотрудничества и трансграничной торговли,"Консалтинг, стратегическое развитие Аналитика","АКЦИОНЕРНОЕ ОБЩЕСТВО ""ЦЕНТР РАЗВИТИЯ ТОРГОВОЙ ПОЛИТИКИ ""QAZTRADE""",от 200 000 тг.,2 года стажа,высшее,"г. Нур-Султан, проспект Мәңгілік Ел, 8, 3 подъезд",полный рабочий день,нормальные,11/19/2020
Аналитик,директор Департамента по взаимодействию с ВТО и ТЭС,"Консалтинг, стратегическое развитие Аналитика","АКЦИОНЕРНОЕ ОБЩЕСТВО ""ЦЕНТР РАЗВИТИЯ ТОРГОВОЙ ПОЛИТИКИ ""QAZTRADE""",от 200 000 тг.,2 года стажа,высшее,"г. Нур-Султан, проспект Мәңгілік Ел, 8, 3 подъезд",полный рабочий день,нормальные,11/19/2020
Аналитик,аналитик,"Консалтинг, стратегическое развитие Аналитика","ТОВАРИЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""КОНЦЕРН ""ЦЕСНА-АСТЫК""",от 200 000 тг.,2 года стажа,высшее,"г. НУР-СУЛТАН / район ""Байқоңыр""",полный рабочий день,нормальные,11/19/2020
Аналитик,аналитик,"Консалтинг, стратегическое развитие Аналитика","ТОВАРИЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""КОНЦЕРН ""ЦЕСНА-АСТЫК""",от 200 000 тг.,2 года стажа,высшее,"г. НУР-СУЛТАН / район ""Байқоңыр""",полный рабочий день,нормальные,11/19/2020
Аналитик,аналитик,"Консалтинг, стратегическое развитие Аналитика","ТОВАРИЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""КОНЦЕРН ""ЦЕСНА-АСТЫК""",от 200 000 тг.,2 года стажа,высшее,"г. НУР-СУЛТАН / район ""Байқоңыр""",полный рабочий день,нормальные,11/19/2020
Аналитик,эксперт Департамента международного сотрудничества и трансграничной торговли,"Консалтинг, стратегическое развитие Аналитика","АКЦИОНЕРНОЕ ОБЩЕСТВО ""ЦЕНТР РАЗВИТИЯ ТОРГОВОЙ ПОЛИТИКИ ""QAZTRADE""",от 200 000 тг.,2 года стажа,высшее,"г. Нур-Султан, проспект Мәңгілік Ел, 8, 3 подъезд",полный рабочий день,нормальные,11/19/2020
Аналитик,директор Департамента по взаимодействию с ВТО и ТЭС,"Консалтинг, стратегическое развитие Аналитика","АКЦИОНЕРНОЕ ОБЩЕСТВО ""ЦЕНТР РАЗВИТИЯ ТОРГОВОЙ ПОЛИТИКИ ""QAZTRADE""",от 200 000 тг.,2 года стажа,высшее,"г. Нур-Султан, проспект Мәңгілік Ел, 8, 3 подъезд",полный рабочий день,нормальные,11/19/2020
Аналитик,аналитик,"Консалтинг, стратегическое развитие Аналитика","ТОВАРИЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""КОНЦЕРН ""ЦЕСНА-АСТЫК""",от 200 000 тг.,2 года стажа,высшее,"г. НУР-СУЛТАН / район ""Байқоңыр""",полный рабочий день,нормальные,11/19/2020
Аналитик,аналитик,"Консалтинг, стратегическое развитие Аналитика","ТОВАРИЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""КОНЦЕРН ""ЦЕСНА-АСТЫК""",от 200 000 тг.,2 года стажа,высшее,"г. НУР-СУЛТАН / район ""Байқоңыр""",полный рабочий день,нормальные,11/19/2020
Кредитный агент,-,"Банки, инвестиции, лизинг Кредитование","Акционерное общество ""Ипотечная организация ""Казахстанская Ипотечная Компания""",от 74 000 тг.,Без опыта работы,техническое и профессиональное,г. НУР-СУЛТАН / г. Нур-Султан,полный рабочий день,нормальные,11/19/2020
Кредитный агент,-,"Банки, инвестиции, лизинг Кредитование","Акционерное общество ""Ипотечная организация ""Казахстанская Ипотечная Компания""",от 74 000 тг.,Без опыта работы,техническое и профессиональное,г. НУР-СУЛТАН / г. Нур-Султан,полный рабочий день,нормальные,11/19/2020
Системный инженер,IT специалист,"IT, телекоммуникации, связь, электроника Системная интеграция","ТОВАРИЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""КАФЕ СОФТ KZ""",от 150 000 тг.,2 года стажа,техническое и профессиональное,г. АЛМАТЫ / Алмалинский район,полный рабочий день,нормальные,11/20/2020
Системный инженер,IT специалист,"IT, телекоммуникации, связь, электроника Системная интеграция","ТОВАРИЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""КАФЕ СОФТ KZ""",от 150 000 тг.,2 года стажа,техническое и профессиональное,г. АЛМАТЫ / Алмалинский район,полный рабочий день,нормальные,11/20/2020
Экономист по планированию,-,"Экономика, финансы Планово-экономическое управление","Товарищество с ограниченной ответственностью ""Асхар-Тау""",от 68 806 тг.,Без опыта работы,высшее,г. НУР-СУЛТАН / район Есиль,полный рабочий день,нормальные,11/20/2020
Офис-менеджер,-,"Обслуживающий персонал, секретариат, АХО Управление офисом","""Қалалық білім бөлімі"" мемлекеттік мекемесіне қарасты жалпы білім беретін №33 Қасым Қайсенов атындағы орта мектеп"" коммуналдық мемлекеттік мекемесі",от 95 000 тг.,3 года стажа,высшее,г. АЛМАТЫ / Бостандыкский район,полный рабочий день,нормальные,11/20/2020
Маркетолог,-,"Маркетинг, реклама, PR Маркетинг","Коммунальное государственное предприятие на праве хозяйственного ведения ""Городская поликлиника №6"" Управления общественного здоровья города Алматы",от 200 000 тг.,3 года стажа,высшее,ТУРКЕСТАНСКАЯ ОБЛАСТЬ / Толебийский район,полный рабочий день,нормальные,11/20/2020
Кредитный менеджер,Главный специалист Управление администрирования кредитов Головного банка Департамента кредитного администрирования,"Банки, инвестиции, лизинг Кредитование","АСТАНИНСКИЙ РЕГИОНАЛЬНЫЙ ФИЛИАЛ № 119900 АКЦИОНЕРНОГО ОБЩЕСТВА ""НАРОДНЫЙ СБЕРЕГАТЕЛЬНЫЙ БАНК КАЗАХСТАНА""",от 172 000 тг.,2 года стажа,высшее,"г. НУР-СУЛТАН / район ""Байқоңыр""",полный рабочий день,нормальные,11/20/2020
Кредитный менеджер,Главный специалист Управление администрирования кредитов Головного банка Департамента кредитного администрирования,"Банки, инвестиции, лизинг Кредитование","АСТАНИНСКИЙ РЕГИОНАЛЬНЫЙ ФИЛИАЛ № 119900 АКЦИОНЕРНОГО ОБЩЕСТВА ""НАРОДНЫЙ СБЕРЕГАТЕЛЬНЫЙ БАНК КАЗАХСТАНА""",от 172 000 тг.,2 года стажа,высшее,"г. НУР-СУЛТАН / район ""Байқоңыр""",полный рабочий день,нормальные,11/20/2020
Кредитный менеджер,Эксперт-аналитик,"Банки, инвестиции, лизинг Кредитование","Карагандинский филиал Товарищество с ограниченной ответственностью ""Микрофинансовая организация ""Азиатский Кредитный Фонд""",от 172 000 тг.,2 года стажа,техническое и профессиональное,г. ШЫМКЕНТ / г. Шымкент,полный рабочий день,нормальные,11/20/2020
Кредитный менеджер,Эксперт-аналитик,"Банки, инвестиции, лизинг Кредитование","Карагандинский филиал Товарищество с ограниченной ответственностью ""Микрофинансовая организация ""Азиатский Кредитный Фонд""",от 172 000 тг.,2 года стажа,техническое и профессиональное,г. ШЫМКЕНТ / г. Шымкент,полный рабочий день,нормальные,11/20/2020
Риелтор,врач,"Недвижимость, риэлтeрство Риэлтер","Коммунальное государственное предприятие на праве хозяйственного ведения ""Городская поликлиника №21"" Управления общественного здоровья города Алматы",от 150 000 тг.,Без опыта работы,высшее,г. АЛМАТЫ / Ауэзовский район,полный рабочий день,нормальные,11/21/2020
Сетевой инженер,инженер по ТО оборудования СТ 2 категории ЦТПСР,"IT, телекоммуникации, связь, электроника Сетевые технологии","ЗАПАДНАЯ РЕГИОНАЛЬНАЯ ДИРЕКЦИЯ ТЕЛЕКОММУНИКАЦИЙ - ФИЛИАЛ АКЦИОНЕРНОГО ОБЩЕСТВА ""КАЗАХТЕЛЕКОМ""",от 116 000 тг.,2 года стажа,послевузовское,В-КАЗАХСТАНСКАЯ ОБЛАСТЬ / г. Усть-Каменогорск,полный рабочий день,нормальные,11/23/2020
Сетевой администратор,"Прием клиентов, проведение собеседований, в офисе, телефонные звонки, первичная документация","IT, телекоммуникации, связь, электроника Сетевые технологии",БАТА,от 80 000 тг.,Без опыта работы,послесреднее,АКТЮБИНСКАЯ ОБЛАСТЬ / г. Актобе,полный рабочий день,нормальные,11/23/2020
Электрик участка,Ведущий менеджер Направления инжениринга бизнес-процессов,"Строительство, благоустройство Электрооборудование","Товарищество с ограниченной ответственностью ""Карагандинская железнодорожная больница""",от 150 000 тг.,3 года стажа,высшее,"г. Нур-Султан, проспект Мәңгілік Ел, 8, 3 подъезд",полный рабочий день,нормальные,11/23/2020
Электрик участка,Ведущий менеджер Направления инжениринга бизнес-процессов,"Строительство, благоустройство Электрооборудование","Товарищество с ограниченной ответственностью ""Карагандинская железнодорожная больница""",от 150 000 тг.,3 года стажа,высшее,"г. Нур-Султан, проспект Мәңгілік Ел, 8, 3 подъезд",полный рабочий день,нормальные,11/23/2020
Финансовый риск-менеджер,Заместитель менеджера проекта,Страхование Финансовые риски,"Филиал ""Шелл Казахстан Б.В.""",от 100 000 тг.,3 года стажа,высшее,"г. НУР-СУЛТАН / район ""Байқоңыр""",полный рабочий день,нормальные,11/23/2020
Специалист по продажам финансовых продуктов,-,Продажи Услуги для бизнеса,"ТОВАРИЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""КОРД ПЛЮС""",от 100 000 тг.,Без опыта работы,послесреднее,г. АЛМАТЫ / г. Алматы,полный рабочий день,нормальные,11/23/2020
Кредитный менеджер,кредитный менеджер,"Банки, инвестиции, лизинг Кредитование","Филиал акционерного общества ""Нурбанк"" в городе Тараз",от 74 000 тг.,1 год стажа,высшее,"г. Нур-Султан, проспект Мәңгілік Ел, 8, 3 подъезд",полный рабочий день,нормальные,11/23/2020
